fact_checked_segment	comment_by_fact-checker	article
Globally there’s no clear evidence of trends and patterns in extreme events such as droughts, hurricanes and floods. Some regions experience more, some less and some no trend. Limitations of data and inconsistencies in patterns prevent confident claims about global trends one way or another. There’s no trend in U.S. hurricane landfall frequency or intensity. If anything, the past 50 years has been relatively quiet. There’s no trend in hurricane-related flooding in the U.S. Nor is there evidence of an increase in floods globally. Since 1965, more parts of the U.S. have seen a decrease in flooding than have seen an increase. And from 1940 to today, flood damage as a percentage of GDP has fallen to less than 0.05 per cent per year from about 0.2 per cent.	This is more or less a summary of the data cited in Pielke’s presentation and probably accurate. But as mentioned above, it does not give the whole picture. (1) The observational data for the US does not reflect changes in other regions. Heat waves in other regions can, for example, already be linked to climate change: “It is very likely that the number of cold days and nights has decreased and the number of warm days and nights has increased on the global scale. It is likely that the frequency of heat waves has increased in large parts of Europe, Asia and Australia. It is very likely that human influence has contributed to the observed global scale changes in the frequency and intensity of daily temperature extremes since the mid-20th century. It is likely that human influence has more than doubled the probability of occurrence of heat waves in some locations. (IPCC1) (2) The main argument for linking extreme weather with climate change comes from climate projections, which are completely omitted here. The IPCC special report on the 1.5 degree target2 is very clear in stating that a global warming of 2 degrees will lead to more extreme events than global warming of 1.5 degrees: “Climate models project robust differences in regional climate between present-day and global warming up to 1.5°C, and between 1.5°C and 2°C (high confidence), depending on the variable and region in question (high confidence). Large, robust and widespread differences are expected for temperature extremes (high confidence).” and “Limiting global warming to 1.5°C would limit risks of increases in heavy precipitation events on a global scale and in several regions compared to conditions at 2°C global warming (medium confidence). ” These are only summary statements, but detailed elaboration is given within the report. 1 – IPCC (2013) Climate Change 2013: The Physical Science Basis 2 – IPCC (2018) Global Warming of 1.5 °C 	article128.txt
“precipitation from global warming will make the world much greener”	This is highly uncertain. The CO2 and precipitation trends will also be accompanied by increasing temperatures and increasing drought, which is likely to harm vegetation. The balance of these factors is still unclear. 	article27.txt
I chose to assess the sea-level trend from 1915-45	This is a blatant case of cherry picking to confirm a Singer’s position while ignoring all other instrumental sea level data that may contradict that position. This fallacy is a major problem in public debate. 	article99.txt
“The Greenland ice cap last winter increased in volume faster than at any time for years.”	This is not per se completely incorrect, but the author does not tell us the whole story. The author refers to the growing of the ice sheet volume through snowfall throughout winter. The snow accumulated on Greenland in past winter (September-April) has indeed been remarkably high: However, this does not imply that the volume of the ice sheet is increasing, because (1) the ice sheet also loses ice through discharging icebergs; it is the difference between snowfall-driven growth and solid ice discharge that determines if the ice sheet gains or loses volume, and (2) the snow that accumulated during the winter will (at least partly) melt over the summer. That’s why we analyse changes to the ice sheet volume/mass on (at least) annual time scales. Only after the summer we will know how much of the accumulated snow has (not) been melted. uring the past years, the amount of melting has been record-high, and much of snow that accumulated over the winter melted and ran off into the ocean. Concurrently, ice discharge continued, so the Greenland ice sheet LOST considerable volume. We will know in September how much the ice sheet has changed volume this year. Two additional remarks: (a) The word “faster” should not have been used here. We are not talking about the rate of speed, but rather about the total change in volume. Also, it is easier to talk about “mass changes” than “volume changes” since the former is not sensitive to the density of the medium we are talking about (snow has a lower density than ice!). (b) The enhanced snowfall, ironically, is most probably also a signal of the strongly warming Arctic: as the atmosphere warms, it contains more moisture, and generates more precipitation. Also, record-low fall and winter sea ice extent led to large streaks of open water that might have contributed to additional moisture loading of the air.	article60.txt
But it is part of a long list of studies from independent teams (as this interactive graphic shows), using a variety of methods that take account of critical challenges, all of which conclude that climate models exhibit too much sensitivity to greenhouse gases.	Cherry pick much? For a better perspective, refer to the recent comprehensive literature review by Knutti et al*, which shows ECS estimates from a wide range of methodologies (see figures below). Notably, energy budget estimates are consistently biased low relative to other lines of evidence. Knutti et al (2017) Beyond equilibrium climate sensitivity, Nature Geoscience 	article103.txt
More than 100 climate models over the past 30 years did not predict what actually happened because it was assumed carbon dioxide had the pivotal role in driving climate change and that the effects of clouds, back-radiation and the sun were trivial.	Climate model projections from decades ago accurately predicted: (1) global warming would happen, (2) it would happen faster at high latitudes, (3) the HQadley Cell circulation would expand poleward, (4) the stratosphere would cool, (5) Arctic sea ice would retreat, (6) convective cloud tops in the tropics would get higher. These changes have all now been measured. For example, a 1988 study1 discussed rising convective cloud tops. And a 2016 study2 showed it was measured with satellites. 1-Wetherald and Manabe (1988) Cloud Feedback Processes in a General Circulation Model, Journal of the Atmospheric Sciences 2-Norris et al (2016) Evidence for climate change in the satellite cloud record, Nature	
“we should look at all the available information.”	Yes indeed, this is exactly what the IPCC does. I agree with Lomborg that having unbalanced views, only showing negative outcomes, is not helpful. But this is also true for this article that attempts to only show positive outcomes. Planet will get greener, less people will die in winter, the developed world is less vulnerable, precipitation will increase … All of these statements are severely biased, only telling half of the story (if not less…).	article27.txt
“‘With levels of carbon dioxide in the atmosphere consistently breaking new records, the influence of human activities on the climate system has become more and more evident,’ said Taalas.”	Readers should also be aware of the decades-long lag between the stabilization of CO2 in the atmosphere and the stabilization of CO2-induced warming. The planet will continue to heat because ocean temperatures will not yet be in equilibrium with the atmosphere.	
“Then it will destroy all the species that depend on it — causing an almighty mass extinction which will wipe out the fishing industry and turn our oceans into a barren zone of death.”	That is not a truthful summary of the scientific literature. Check, for example, the meta-analysis of Kroeker et al. (2013) who describe processes and organisms that do not seem to be affected by ocean acidification. Kroeker et al. (2013) Impacts of ocean acidification on marine organisms: quantifying sensitivities and interaction with warming. Global Change Biology. 	article45.txt
“In other words, we have, trapped in Arctic permafrost, twice as much carbon as is currently wrecking the atmosphere of the planet, all of it scheduled to be released at a date that keeps getting moved up, partially in the form of a gas that multiplies its warming power 86 times over.”	Most work on studying the dynamics of greenhouse gas balance in degrading permafrost systems, both as based on field measurements and as represented in ecosystem models for making climate feedback projections, seems to point to methane release being a relatively minor pathway for permafrost carbon to be released to the atmosphere, at least for terrestrial permafrost sources (which comprise most of the carbon mentioned here). It is true that terrestrial permafrost systems emit methane, but most of that methane is from recently photosynthesized carbon rather than older permafrost sources, and most of the carbon released from the older permafrost sources is released as either carbon dioxide or dissolved organic carbon rather than methane. So, while uncertainty on this issue remains high, and permafrost thaw is a potentially strong feedback process, this feedback seems likely to be dominated by carbon dioxide rather than methane. A specifically misleading thing about these numbers, which are a metric called “global warming potential”, is that their units are based on the mass of the gas. Since the question here is whether a given atom of carbon will be emitted to the atmosphere contained within either a molecule of carbon dioxide or a molecule of methane, you have to take into account the fact that the molecule of carbon dioxide is much heavier, because of the two oxygen atoms it picks up in the transformation to that gas, versus the four hydrogen atoms it would acquire in becoming methane. What this means in practice is that you have to divide the global warming potential by the ratio of the weight of the molecules, which is 44/16 or 2.75. So strictly speaking, the 34 and 86 ought to read 12 and 31. This is a separate issue from the timescale one that others point out, and which further makes this comparison misleading.	
“Using satellite data rather than tide-gauge data that is normally used to measure sea levels allows for more precise estimates of global sea level, since it provides measurements of the open ocean.”	This may be a bit of a misrepresentation, as precision is only one part of the story here. The length of the available records is also crucial—hence the need for studies of tide gauge data.	article93.txt
“[Sea ice] also helps regulate the planet’s temperature by influencing the circulation of the atmosphere and ocean. It can affect weather in the U.S.”	Sea ice acts as an insulating blanket over the Arctic Ocean and by removing it (via our impact on the climate) we are “performing the largest experiment in oceanography”, allowing the winds and atmosphere to directly interact with the Arctic Ocean and therefore potentially waking up the “sleeping Arctic Ocean” both mechanically and thermodynamically. (See the Lunch Hour Lecture at University College London below.) 	
Our evolving dynamic planet has survived sea level changes of hundreds of metres	That is really nice for that rock revolving around the Sun. I personally also care about the people and communities living in coastal cities and towns and their cultural heritage. Ian Plimer can naturally have another opinion on their value.	
People who study the impacts of global warming have found that if ECS is low — say, less than two — then the impacts of global warming on the economy will be mostly small and, in many places, mildly beneficial.	This is not necessarily true, as the amount of future warming depends as much on future emissions trajectories as it does on climate sensitivity. A world with 1000 ppm CO2 and an equilibrium climate sensitivity of 2 would still be quite unpleasant.	article103.txt
“In the worst-case scenario, this research suggests, the rate of sea-level rise could reach a foot per decade by the 22nd century, about 10 times faster than today.”	We published the results of a study in Science Advances last year (Winkelmann et al., 2015; Combustion of available fossil fuel resources sufficient to eliminate the Antarctic Ice Sheet) concluding that in a worst case scenario, sea level could be rising at an average rate of a foot per decade, averaged over the next 1000 years. Our model, however, did not include the mechanical instability of ice sheet cliffs considered by DeConto and Pollard (2016; Contribution of Antarctica to past and future sea-level rise), which could potentially result in sea-level rises of this magnitude. A key word here is ‘could’. More work needs to be done to assess the likelihood of this occurrence, but sea-level rise rates of a foot per decade by year 2100 appear to be a real risk posed by our greenhouse gas emissions.	article34.txt
“ ‘Although some researchers doubted the existence of a global warming hiatus because of coverage bias, artificial inconsistency, and a change point analysis of instrumental Ts records,’ a just-published study at Nature.com’s Scientific Reports found, ‘it is now accepted that a recent warming deceleration can be clearly observed.’ ”	This article in Scientific American provides context left out by the author on the scientific debate over the warming “hiatus.” By cherry-picking only this line from a single study, the author misrepresents the painstaking process of data analysis and hypothesis testing that led to that conclusion. As the Scientific American article points out, the authors of the study cited by the author were confident in reporting their findings—which do not refute the existence of anthropogenic global warming—because science exists to challenge previous work and is constantly incorporating new information that may alter previous conclusions, a fact which undercuts the author’s claims repeated throughout his article that climate science is a politically-motivated house of cards.	
“The changes in the amount of oxygen in the shells isn’t a reflection of changing temperatures – just a consequence of the fact that the amount of oxygen seen changes over time anyway.”	It doesn’t just change over time anyway. Firstly, we are talking about the isotope ratio of oxygen, not the amount. Secondly, the authors show evidence that in some depositional settings this sort of “resetting” of temperatures could occur. By over-simplifying here the author of the article loses and obscures the original study. 	
Let’s find out by comparing the actual temperatures since 1979 with what the 32 families of climate models used in the latest U.N. report on climate science predicted they would be.	Considering a larger range of time, Marotzke and Forster (2015)1 generally find good consistency between models and observations. 1- Martozke and Forster (2015) Forcing, feedback and internal variability in global temperature trends, Nature	article130.txt
“Others have argued that the records were caused by El Nino […] The new fall in temperatures suggests they were right.”	Incorrect. We have seen more than 1°C of warming which is largely due to human activities. The strong El Niño has added around 0.1°C temporarily. Therefore, the largest cause of the record temperatures is human activities.	
“Stress from unusually warm ocean water heated by man-made climate change and the natural El Niño climate pattern caused the die-off.”	Roughly speaking, the El Niño may have added a quarter of a degree C to the global average in 2015/16, while the greenhouse-gas-related warming trend has added twice that much to the average values since the 1980s. It’s also important to note that this is only one part of a global coral bleaching event that has been occurring since mid-2014. NOAA declares third ever global coral bleaching event 	article42.txt
A well-known statistical distribution derived from modeling studies summarizes the uncertainties in this method. It shows that ECS is probably between two and 4.5 degrees, possibly as low as 1.5 but not lower, and possibly as high as nine degrees.	Uncertainty is not our friend. The fact that the different methods and studies do not fully agree should not be taken as an argument to pick one particular number that one happens to like and discard all the other evidence. As an analogy, when suddenly fog appears on a narrow windy road and the obstacles are hard to see, the normal reaction would be to slow down to be on the safe side, not to accelerate. Greater uncertainty in future warming should be an argument to prepare for the worst case, not to hope for the unlikely case that the impacts will be benign.	article103.txt
“Using paleoclimatic data, studies suggest sea ice is shrinking to levels not seen in thousands of years.”	The relevant assessment from the latest IPCC report (Chapter 5 Information from Paleoclimate Archives) is: “There is medium confidence from reconstructions that the current (1980–2012) summer sea ice retreat was unprecedented and sea surface temperatures in the Arctic were anomalously high in the perspective of at least the last 1450 years. Lower than late 20th century summer Arctic sea ice cover is reconstructed and simulated for the period between 8000 and 6500 years ago in response to orbital forcing.” 	article47.txt
“Sea level rise, which was occurring long before humans could be blamed, has not accelerated and still amounts to only 1 inch every ten years. If a major hurricane is approaching with a predicted storm surge of 10-14 feet, are you really going to worry about a sea level rise of 1 inch per decade?”	Proxy analysis has clearly shown an acceleration in rate of sea-level rise. Our research* found that the rate of sea-level rise on the US Atlantic coast is greater now than at any time in the past 2,000 years. The research also shows a consistent link between global mean surface temperature and changes in sea level for the past millennium. The study shows that after relatively subtle changes in temperature and sea-level rise over the last 2,000 years, the rate of sea-level rise increased in the late 19th century. Sea-level rise contributes significantly to the frequency of flooding from hurricanes. The contribution from sea-level rise to flood height works in together with other factors such as timing of the storm relative to high tide, and the strength and direction of individual hurricanes. Sea-level rise between hurricanes raises the “baseline” water level and makes flooding more likely. We published another paper* showing that New York City can expect nine-foot floods, as intense as that produced by 2012’s Superstorm Sandy, at least four times more frequently over the next century. We report that floods as intense as Sandy’s would have occurred about once every 400 years on average under present day sea-level rise conditions, but that over the 21st century are expected to be about four times more probable (once every 100 years) due to an acceleration in the rate of sea-level rise. Kemp et al. (2011) Climate related sea-level variations over the past two millennia, Proceedings of the National Academy of Sciences Lin et al. (2016) Hurricane Sandy’s flood frequency increasing from year 1800 to 2100, Proceedings of the National Academy of Sciences 	article39.txt
“ever since December temperatures in the Arctic have consistently been lower than minus 20 C”	It is indeed true that the Arctic is cold in winter—it’s hard to argue with that. But this statement belies the fact that winter 2017 was actually extraordinarily warm by historical standards, and second only to the record-shattering warmth observed just last year (in 2016). The attached plot, created by Zachary Labe and available at http://sites.uci.edu/zlabe/arctic-temperatures, shows that the -20 °C temperatures this winter are nearly 10 °C degrees above the long-term average of -30 °C! Therefore, the fact that temperatures were -20 °C this winter in the Arctic is actually a testament to just how much the Arctic has warmed in recent years.	
There’s no trend in global droughts. Cold snaps in the U.S. are down but, unexpectedly, so are heatwaves.	Yes, but not in other regions of the world (see annotations above).	article128.txt
“Peter Wadhams, professor of ocean physics at the University of Cambridge, predicted ‘global disaster’ from the demise of Arctic sea ice—in four years. He too, is eating crow.”	These predictions of Peter Wadhams have been opposed by all climate scientists I know of. This picking of quotes that are convenient for Robert Bradley Jr.’s narrative while ignoring what most climate scientists say is one of his most used rhetorical tools.	
“Sea level rise is global. But due to a variety of factors – including, for this part of the Atlantic coast, a likely weakening of the Gulf Stream, itself potentially a result of the melting of Greenland’s ice caps – south Floridians are feeling the effects more than many others. While there has been a mean rise of a little more than 3mm per year worldwide since the 1990s, in the last decade, the NOAA Virginia Key tide gauge just south of Miami Beach has measured a 9mm rise annually.”	True: Sea-level rise in Florida is the result of a variety of factors. But the influence of a weakening Gulf Stream will be felt more in the northeast of the US than Florida. Furthermore, land level subsidence due to glacial isostatic adjustment is less in Florida than the mid and northeast Atlantic. With respect to melting from Greenland, yes, Florida will feel a greater impact than regions to the North. But the rate of rise will be less than the global average. Focusing on the last decade and one tide gauge could be considered cherry-picking the data. Long-term (>60yrs) tide gauges should be used. Virginia Key has only been operational since 1994. Key West Tide gauge has been operational since 1901 and records a rate of sea-level rise of 2.37 mm/yr. 	article56.txt
“We indicated 23 years ago — in our 1994 Nature article — that climate models had the atmosphere’s sensitivity to CO2 much too high,” Christy said in a statement. “This recent paper bolsters that conclusion.”	This 23 years is likely where the mistake in the title comes from. Although the data in this Christy and McNider article from 1994 turned out to have major errors, for example not taking into account that the satellites drift, which caused the underestimation of the warming, it started the tradition of Christy and McNider being overconfident about the reliability of their data (“perhaps the best measurements of the Earth’s air temperature in terms of its global coverage and precision.”). And the tradition of immediately blaming climate models, ignoring many other independent lines of evidence on warming and climate sensitivity, when there can be many other reasons for the difference between their data and climate models. In this 1994 paper, Christy and McNider’s data showed almost no warming. In that respect one could say that 23 years of removing errors from the satellite temperature data has accelerated upper air warming.	
“Instead of negotiating over climate change policies and trying to make them more market-oriented, some political conservatives have taken the approach of blocking them by trying to undermine the science.”	On the scientific community side, the consensus is broad. It’s worth revisiting Cook et al. 2015*. In their review they find a 97% consensus about human-induced global warming in published climate studies. Cook et al (2016) Consensus on consensus: a synthesis of consensus estimates on human-caused global warming, Environmental Research Letters 	article77.txt
“The UN has already said that 2016 is highly likely to break the annual record again, after 14 straight months of extreme heat aided by a hefty El Niño climatic event, a weather event that typically raises temperatures around the world.“	I would say that it increases ‘global mean temperature’. An El Niño does not necessarily imply warming everywhere on Earth. Also, especially pronounced are the warm conditions in the Arctic, which are not explicitly mentioned here, but do not relate to the strong El Niño.	article31.txt
since 1979 to the most reliable observations — those made by satellites and weather balloons over the vast tropics. 	Beware of cherry-picking: It is not established that satellites are the “most reliable” observations, that the tropics are the best domain with which to compare observations or models, or that we should only consider post-1979 satellite era data.	article130.txt
“ It has now, even after Hurricane Matthew, been over 4,000 days since a major hurricane (Category 3 or stronger) has made landfall in the U.S. ”	The definition of US major hurricane landfall is strict but also arbitrary, and isn’t a particularly good measure of coastal risk. The threshold of a major hurricane, and the restriction that the center of a hurricane must move over land is somewhat ad hoc and may obfuscate the points of relevance. For example, many coastal communities have experienced major hurricane landfalls over the past 4,000 days. They just don’t happen to be within the geopolitical border of the contiguous US. Matthew is in fact a good example for why the author’s statement is misleading. Matthew did a great deal of damage as a major hurricane without technically having its center touch land. The fact that it didn’t make formal landfall as a major hurricane is not particularly relevant when considering coastal hazard exposure and human mortality risk. 	
The second big adjustment was over the Arctic Ocean	This is not an adjustment. Some temperature datasets did not include parts of the Arctic in their estimates of the global mean temperature. Because the Arctic warmed much in this period, these datasets showed less short-term warming. This was taken into account in their uncertainty estimates, which should have been taken into account by people wrongly claiming global warming had stopped between 2000 and 2014.	article130.txt
“This article is the result of dozens of interviews and exchanges with climatologists and researchers in related fields”	This sentence implies, somehow, that the scientific content of this article comes from these scientists, or that they agree with it. I don’t believe that this is entirely the case—e.g. see Michael Mann’s comments—and, the author should have mentioned that as a caveat here.	
